label,sport_and_travel,buy_and_sell,health_and_family,jobs,love,social_learning,suport,new,comic_and_film,music,gaming,school_and_class,club
__label__25-34,0,18,2,2,3,1,1,0,0,1,0,1,7
__label__18-24,0,0,3,0,1,0,0,0,0,0,0,0,0
__label__25-34,1,16,13,3,5,2,0,1,0,0,0,5,11
__label__45-54,0,0,4,0,0,0,0,3,0,0,0,0,5
__label__45-54,0,1,0,0,0,0,0,0,0,0,0,0,1
__label__25-34,0,1,0,0,1,0,0,0,0,0,0,1,1
__label__25-34,1,57,25,14,10,6,0,2,1,1,1,7,24
__label__35-44,0,3,7,0,2,1,0,0,0,0,0,0,10
__label__18-24,0,0,1,0,2,0,0,0,0,0,0,0,3
__label__45-54,0,3,0,0,0,0,0,0,0,0,0,0,1
__label__25-34,2,16,7,1,0,0,1,0,0,0,0,0,4
__label__25-34,0,2,0,0,1,0,0,0,0,0,0,0,0
__label__35-44,0,2,1,1,0,5,0,1,0,0,0,1,3
__label__18-24,1,11,7,1,9,5,1,2,0,0,1,4,11
__label__45-54,0,3,2,1,2,2,0,1,0,0,0,0,4
__label__18-24,0,13,11,5,7,16,0,0,1,0,1,0,12
__label__18-24,0,20,8,0,7,0,0,0,0,0,1,2,3
__label__45-54,0,1,0,0,1,0,0,1,0,0,0,0,0
__label__45-54,0,0,2,0,1,0,0,0,0,0,0,0,2
__label__35-44,2,64,9,2,1,2,2,1,0,1,0,0,10
__label__55+,0,1,0,0,0,0,0,0,0,0,0,0,1
__label__25-34,0,3,2,0,3,0,0,0,0,0,0,0,1
__label__18-24,0,1,0,0,0,0,0,0,0,0,1,0,0
__label__18-24,0,1,0,0,3,0,0,0,0,0,0,0,1
__label__45-54,0,3,2,0,0,0,0,0,0,0,0,0,0
__label__18-24,0,5,2,1,2,0,0,1,1,0,0,1,5
__label__55+,0,1,1,0,1,1,0,0,0,0,0,0,1
__label__18-24,0,15,4,0,5,0,0,0,0,0,0,1,0
__label__18-24,2,7,4,0,27,5,1,2,1,4,6,0,32
__label__18-24,0,11,1,1,5,2,0,0,0,0,2,0,4
__label__18-24,0,5,16,1,5,2,0,2,0,0,0,0,7
__label__18-24,0,0,0,0,2,0,0,0,0,0,0,0,2
__label__55+,0,1,0,0,0,0,0,0,0,1,0,0,4
__label__45-54,0,0,3,0,0,0,0,0,0,1,0,0,0
__label__55+,0,1,2,0,0,1,0,0,0,0,0,0,0
__label__45-54,0,3,0,0,0,2,0,0,0,2,0,0,2
__label__55+,0,2,1,1,0,0,0,0,0,2,0,1,1
__label__18-24,0,2,8,0,10,0,0,0,1,4,1,1,3
__label__25-34,0,11,6,6,1,1,0,0,0,0,0,0,2
__label__18-24,0,2,4,2,2,4,0,1,0,0,4,0,3
__label__18-24,0,4,4,1,6,0,0,1,2,1,2,1,11
__label__18-24,0,28,3,1,1,0,0,1,0,1,0,0,2
__label__35-44,0,0,0,0,0,1,0,0,0,0,0,0,3
__label__35-44,1,1,5,0,0,0,0,0,0,0,0,0,1
__label__35-44,0,40,32,4,5,4,0,1,1,2,0,6,18
__label__35-44,0,7,2,0,8,1,0,0,0,1,1,0,8
__label__35-44,0,5,4,0,0,0,0,0,1,0,0,0,3
__label__55+,0,3,0,1,0,0,0,0,0,0,0,0,1
__label__35-44,1,45,6,1,0,2,0,0,0,0,0,0,3
__label__35-44,0,4,2,0,0,0,0,0,0,3,0,0,0
__label__35-44,0,6,3,0,0,4,0,1,0,0,0,2,7
__label__45-54,0,0,2,0,0,0,0,0,0,0,0,0,0
__label__35-44,0,4,0,0,0,0,0,0,0,1,0,0,0
__label__18-24,0,0,1,0,5,0,0,0,0,1,1,0,6
